Geneid,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000000003,700,465,892,417,1172,1066,801,594
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,501,539,652,359,589,824,439,504
ENSG00000000457,277,229,291,184,281,358,261,245
ENSG00000000460,64,55,38,34,74,64,73,62
ENSG00000000938,0,0,2,0,1,0,0,0
ENSG00000000971,182,274,333,279,401,701,293,497
ENSG00000001036,1852,1352,2150,1103,1739,1768,1682,1366
ENSG00000001084,503,361,573,471,786,670,642,671
ENSG00000001167,471,289,535,208,761,670,412,307
ENSG00000001460,176,163,254,114,228,203,148,168
ENSG00000001461,2109,1841,5062,2595,2688,2689,2431,2874
ENSG00000001497,525,500,665,373,676,825,503,480
ENSG00000001561,72,51,214,155,23,37,134,172
ENSG00000001617,547,385,861,389,690,658,581,559
ENSG00000001626,13,5,17,4,14,6,8,6
ENSG00000001629,1653,1240,2187,1024,2384,2431,1848,1610
ENSG00000001630,77,66,76,20,100,90,36,60
ENSG00000001631,184,187,275,137,259,271,204,194
ENSG00000002016,211,166,263,98,265,253,156,139
ENSG00000002079,1,0,1,0,1,0,0,0
ENSG00000002330,485,392,523,248,509,640,371,397
ENSG00000002549,1446,1261,1258,947,1393,1747,804,986
ENSG00000002586,0,0,0,1,0,0,0,0
ENSG00000002587,2,0,1,0,0,2,0,0
ENSG00000002726,0,0,1,0,0,0,0,0
ENSG00000002745,4,6,21,10,2,1,5,3
ENSG00000002746,154,143,122,61,86,108,88,118
ENSG00000002822,0,2,1,0,0,0,0,0
ENSG00000002834,6696,6712,8272,6084,7029,12520,6066,8131
ENSG00000002919,228,247,289,204,217,370,181,262
ENSG00000002933,1242,1489,626,411,25,25,68,98
ENSG00000003056,1225,981,1313,727,1340,1595,972,921
ENSG00000003096,599,335,597,176,551,315,537,243
ENSG00000003137,118,54,241,62,27,41,174,61
ENSG00000003147,0,0,0,1,1,2,2,0
ENSG00000003249,85,69,213,77,105,115,153,126
ENSG00000003393,813,745,840,581,1165,1579,797,896
ENSG00000003400,95,59,134,69,57,47,95,65
ENSG00000003402,1482,2730,1799,2427,2442,5338,1327,3860
ENSG00000003436,4490,4262,6024,3275,7514,5119,3536,3401
ENSG00000003509,294,283,360,195,386,405,252,254
ENSG00000003756,2346,1730,2673,1319,2637,2476,1914,1990
ENSG00000003987,18,26,25,30,23,53,14,30
ENSG00000003989,46,55,11,3,51,100,18,46
ENSG00000004059,1241,1534,1234,900,1405,2131,1104,1472
ENSG00000004139,119,124,136,75,146,118,122,101
ENSG00000004142,1480,1513,1540,903,1655,2162,1081,1182
ENSG00000004399,3968,4116,3445,1506,5009,5532,2495,2572
ENSG00000004455,1206,1087,1499,739,1506,2229,989,899
ENSG00000004468,3,1,0,0,3,1,2,1
ENSG00000004478,575,542,625,324,716,762,465,447
ENSG00000004487,1459,1026,1544,737,1742,1648,1263,1040
ENSG00000004534,1175,1009,1801,897,1655,1639,1125,976
ENSG00000004660,91,55,57,33,86,72,146,62
ENSG00000004700,899,1042,1102,724,894,1357,752,1120
ENSG00000004766,488,410,549,336,608,678,438,426
ENSG00000004776,6194,5505,5138,2769,3959,3800,6027,5017
ENSG00000004777,119,102,120,43,77,62,89,55
ENSG00000004779,324,336,484,254,410,550,290,314
ENSG00000004799,79,774,128,1089,232,460,609,3090
ENSG00000004809,0,0,0,0,0,0,0,0
ENSG00000004838,13,8,18,3,10,15,12,7
ENSG00000004846,22,3,69,11,7,9,23,5
ENSG00000004848,0,0,0,0,0,0,0,0
ENSG00000004864,142,113,128,89,221,271,144,123
ENSG00000004866,445,258,738,253,537,489,403,296
ENSG00000004897,1578,1388,1800,1124,1846,2226,1374,1429
ENSG00000004939,0,0,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0
