Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1039508_1 - polya	(1, 0.004076025928351777)	(2, 0.005787778045192491)	(3, 0.008518536644121149)	(4, 0.011092868809395955)	(5, 0.012648194492582818)	(6, 0.01443145583623672)	(7, 0.015991250846099408)	(8, 0.017863898723269794)	(9, 0.020442700215220426)	(10, 0.022306409439039165)	(11, 0.02424609721634692)	(12, 0.026194723647006323)	(13, 0.027843905190385494)	(14, 0.02984616354115479)	(15, 0.031861829871951554)	(16, 0.03384174158934173)	(17, 0.03579036802000113)	(18, 0.037698770510578114)	(19, 0.03981723135491884)	(20, 0.041850774992418904)	(21, 0.04420611015057832)	(22, 0.04699496999629269)	(23, 0.04935477448112793)	(24, 0.0520140238532434)	(25, 0.054619641305248975)	(26, 0.05811018543906777)	(27, 0.06123424478546897)	(28, 0.06559183829439767)	(29, 0.06881422282766701)	(30, 0.07199638342085392)	(31, 0.07506681084714523)	(32, 0.0781864008668706)	(33, 0.08204342978810698)	(34, 0.0852970996081071)	(35, 0.08856864673481049)	(36, 0.09159885022101938)	(37, 0.0946156457272008)	(38, 0.09785590756717343)	(39, 0.1011766172873109)	(40, 0.10451520431415165)	(41, 0.10888620580310783)	(42, 0.11363710005950908)	(43, 0.11760139282096525)	(44, 0.12061818832714667)	(45, 0.12437242273483909)	(46, 0.1272953623808282)	(47, 0.13072333594118546)	(48, 0.1335256037669273)	(49, 0.1371100037609384)	(50, 0.14067652644824621)	(51, 0.14730453790849365)	(52, 0.36096069964627514)
SRR1039508_2 - polya	(1, 0.003834682287857264)	(2, 0.005372130664340829)	(3, 0.007848137642747501)	(4, 0.010082800980659659)	(5, 0.011334212449890468)	(6, 0.01273311169942348)	(7, 0.014060501722143301)	(8, 0.01568286730546753)	(9, 0.01762255508277528)	(10, 0.020339905701676465)	(11, 0.02229747078568752)	(12, 0.024384646343297473)	(13, 0.02610980644016566)	(14, 0.028590282745248156)	(15, 0.03052103186920426)	(16, 0.03254116752667685)	(17, 0.03467750567772088)	(18, 0.036572500188270386)	(19, 0.03896805928651222)	(20, 0.04117143733769361)	(21, 0.04386644132321567)	(22, 0.04684301288931467)	(23, 0.04932348919439716)	(24, 0.05245648719415001)	(25, 0.055567138560523734)	(26, 0.05948673805522166)	(27, 0.06288342632884814)	(28, 0.06821533305310655)	(29, 0.07205895399431546)	(30, 0.07559866072156832)	(31, 0.07936630310928822)	(32, 0.08293282579659603)	(33, 0.08760774149950826)	(34, 0.091455831767393)	(35, 0.09497766118794256)	(36, 0.09833859484816244)	(37, 0.1020794212758274)	(38, 0.10583365568351982)	(39, 0.10951191153772324)	(40, 0.11336894045895962)	(41, 0.11820922124887737)	(42, 0.1236573304667072)	(43, 0.12798363868890514)	(44, 0.13184513693681735)	(45, 0.13798152246272413)	(46, 0.36996639289806116)	(47, 0.4497662206949043)	(48, 0.4540612436303715)	(49, 0.4587450979866354)	(50, 0.46403231144413554)	(51, 0.4673262052042181)	(52, 0.4716346361197127)
SRR1039509_1 - polya	(1, 0.0054247282931482)	(2, 0.0076446035567400115)	(3, 0.010741648074598785)	(4, 0.013476063962201943)	(5, 0.015210800923154485)	(6, 0.01696513943168841)	(7, 0.018807684904338567)	(8, 0.020875648174174647)	(9, 0.024570539893265655)	(10, 0.02666790548447381)	(11, 0.028760370688786622)	(12, 0.030911640535843585)	(13, 0.03260717440163336)	(14, 0.0350426666886204)	(15, 0.03741935433286329)	(16, 0.03948731760269937)	(17, 0.041599384354593566)	(18, 0.043858462713348145)	(19, 0.04610774029831203)	(20, 0.04844522484739215)	(21, 0.05116493957430927)	(22, 0.054590310014156235)	(23, 0.05712871042594555)	(24, 0.060264958038967094)	(25, 0.06335710216993053)	(26, 0.06706179466281222)	(27, 0.07069298135226372)	(28, 0.07639213131155131)	(29, 0.08023893502439805)	(30, 0.08401223293381459)	(31, 0.08777573006944044)	(32, 0.09150492449679887)	(33, 0.09586626883365695)	(34, 0.09942885010657361)	(35, 0.10355007548555974)	(36, 0.1072400668177554)	(37, 0.11082715002514879)	(38, 0.11446323710149564)	(39, 0.1180062168268309)	(40, 0.12230875652094485)	(41, 0.12704253026184922)	(42, 0.13322191813688075)	(43, 0.13801939690742462)	(44, 0.14135656038315536)	(45, 0.14626184766539688)	(46, 0.14955000727217416)	(47, 0.15309298699750942)	(48, 0.15642034969944948)	(49, 0.1609679087383307)	(50, 0.16577028789576995)	(51, 0.1781535655803097)	(52, 0.6103480882022597)
SRR1039509_2 - polya	(1, 0.0049150880560321995)	(2, 0.0067184304335195875)	(3, 0.00921762775014613)	(4, 0.011707024292981979)	(5, 0.013299650033969481)	(6, 0.014774666489468676)	(7, 0.01640649532561895)	(8, 0.018322546601699297)	(9, 0.020851146239697915)	(10, 0.024296118227126268)	(11, 0.026280774919741463)	(12, 0.02860845869503089)	(13, 0.030367697590460162)	(14, 0.032852193746400665)	(15, 0.035243582551329596)	(16, 0.03745365704113071)	(17, 0.03984504584605964)	(18, 0.04216292884755837)	(19, 0.044696428872452336)	(20, 0.04719562618907888)	(21, 0.050096655231123804)	(22, 0.05398756242602866)	(23, 0.0566778748315737)	(24, 0.05994643289076959)	(25, 0.06381773853809306)	(26, 0.06809087591083492)	(27, 0.07172696298718176)	(28, 0.07792595240979466)	(29, 0.08235590216318758)	(30, 0.0865408325718132)	(31, 0.0906277552425319)	(32, 0.09475878139530872)	(33, 0.09988948647473615)	(34, 0.10410381920473386)	(35, 0.10838185696437105)	(36, 0.11242467615303163)	(37, 0.1164968976630643)	(38, 0.12052991607793419)	(39, 0.12465604184381565)	(40, 0.12915949740063878)	(41, 0.1346087276282637)	(42, 0.1411899472287136)	(43, 0.14637455656398984)	(44, 0.1506917974187898)	(45, 0.15960560118142447)	(46, 0.6578622395395362)	(47, 0.7392821678057125)	(48, 0.744001240385931)	(49, 0.7495484783514628)	(50, 0.7552917317928085)	(51, 0.7590797308629111)	(52, 0.7633234659142809)
SRR1039512_1 - polya	(1, 0.006735926317829144)	(2, 0.008962770380137791)	(3, 0.011248701515409854)	(4, 0.01397039981378709)	(5, 0.015986746178663577)	(6, 0.017729814831084278)	(7, 0.019351016395517937)	(8, 0.021489229848381464)	(9, 0.023623750359184778)	(10, 0.026227274511635187)	(11, 0.028587064488111515)	(12, 0.030939468580467415)	(13, 0.033011209076247106)	(14, 0.03615390276948866)	(15, 0.03897161756143144)	(16, 0.04181518294779572)	(17, 0.04467721304446107)	(18, 0.047269658370730834)	(19, 0.049972891958807004)	(20, 0.05239176900824675)	(21, 0.05518732614782825)	(22, 0.05912030944195546)	(23, 0.061982339538620805)	(24, 0.06499208731769468)	(25, 0.06828249869334478)	(26, 0.07135502648744228)	(27, 0.07403240948109696)	(28, 0.07813157516793377)	(29, 0.08152169597920962)	(30, 0.08482687912310057)	(31, 0.08799911635282383)	(32, 0.09170313723921782)	(33, 0.09534807105264839)	(34, 0.09870864832744254)	(35, 0.10257515866448591)	(36, 0.10582125473541344)	(37, 0.10958066975271064)	(38, 0.11289693172278222)	(39, 0.11682622207484922)	(40, 0.12173783501493296)	(41, 0.12574467715026444)	(42, 0.13056396653884286)	(43, 0.13454126513769263)	(44, 0.1379092282966072)	(45, 0.14263988707574052)	(46, 0.14561270543421226)	(47, 0.14915054392789664)	(48, 0.15242987647736608)	(49, 0.15651057745390184)	(50, 0.16098642323088042)	(51, 0.16396662747347257)	(52, 0.16741952829977205)
SRR1039512_2 - polya	(1, 0.0063149309229648225)	(2, 0.008578704405875603)	(3, 0.010742768453160625)	(4, 0.01327612670646698)	(5, 0.015233385998380054)	(6, 0.016898902867536272)	(7, 0.018431473822524812)	(8, 0.02054752962302706)	(9, 0.02284453958447976)	(10, 0.02533727547512377)	(11, 0.0278632478443097)	(12, 0.030145486037521547)	(13, 0.0322356912436023)	(14, 0.03580676621582861)	(15, 0.03857647276098862)	(16, 0.0415049758147378)	(17, 0.0446033542032568)	(18, 0.0472881230810319)	(19, 0.05024247672920258)	(20, 0.052635503184220826)	(21, 0.055922221617810706)	(22, 0.06007308849349051)	(23, 0.06336719281120082)	(24, 0.06688656659458413)	(25, 0.07030992388440191)	(26, 0.0736298787965337)	(27, 0.0768685889833408)	(28, 0.08164725600925687)	(29, 0.08543252162097556)	(30, 0.08916608604385125)	(31, 0.09274454690019798)	(32, 0.09672923138316818)	(33, 0.10073976646055988)	(34, 0.10445117323107429)	(35, 0.10843585771404449)	(36, 0.11211033506395678)	(37, 0.11591406538597651)	(38, 0.11968086628739413)	(39, 0.12360646369740091)	(40, 0.12912741207741987)	(41, 0.1334555401719899)	(42, 0.1391796003653206)	(43, 0.14357050847491426)	(44, 0.14718220580980293)	(45, 0.15202734579280283)	(46, 0.15521804773282716)	(47, 0.1637192003554383)	(48, 0.16738259887916992)	(49, 0.17217603767332684)	(50, 0.17720951770139765)	(51, 0.18050731496116815)	(52, 0.1840340746286719)
SRR1039513_1 - polya	(1, 0.009035948693320526)	(2, 0.011906191219434106)	(3, 0.01498904430303758)	(4, 0.018403319726257653)	(5, 0.020698263096810342)	(6, 0.022574238604074117)	(7, 0.02449398687317405)	(8, 0.02701404730459839)	(9, 0.02980299755873054)	(10, 0.033104714451514784)	(11, 0.035987463481010125)	(12, 0.03909532957137712)	(13, 0.041208928642894306)	(14, 0.04466072357625966)	(15, 0.04784988193860808)	(16, 0.050813923240084845)	(17, 0.0545033417377036)	(18, 0.05771751310681555)	(19, 0.060956697482691)	(20, 0.06387696602233162)	(21, 0.06703485812622564)	(22, 0.07207497898907432)	(23, 0.07523912434465922)	(24, 0.0786533997678793)	(25, 0.08231155200704367)	(26, 0.08596970424620803)	(27, 0.0894152459278825)	(28, 0.0943865810221315)	(29, 0.09888892223956457)	(30, 0.10334123744347061)	(31, 0.10725577300196101)	(32, 0.11134539960779605)	(33, 0.11608536438948253)	(34, 0.12006243246488174)	(35, 0.12443970864849722)	(36, 0.12827920518669708)	(37, 0.1326752411253852)	(38, 0.1367085884660023)	(39, 0.14124844919358065)	(40, 0.14626981030135672)	(41, 0.15140372993956858)	(42, 0.15720049425701366)	(43, 0.16195296554208188)	(44, 0.1656861568015368)	(45, 0.17137036258854604)	(46, 0.17508479409292832)	(47, 0.17941829751470764)	(48, 0.18304518349541762)	(49, 0.18864184375875456)	(50, 0.19415721175011005)	(51, 0.19789665626125585)	(52, 0.20157356825549286)
SRR1039513_2 - polya	(1, 0.007785298355144675)	(2, 0.010749339656621443)	(3, 0.013888472005442831)	(4, 0.01727148117020851)	(5, 0.019466372513707128)	(6, 0.021417387041261456)	(7, 0.023274602793452594)	(8, 0.02569461119782287)	(9, 0.028227178132628965)	(10, 0.03126625845439628)	(11, 0.03414900748389162)	(12, 0.03701299675831432)	(13, 0.039401738904230196)	(14, 0.04324748869412094)	(15, 0.04672429663424981)	(16, 0.04968833793572658)	(17, 0.053746698283107214)	(18, 0.05692335014207388)	(19, 0.060737833673510225)	(20, 0.06395200504262216)	(21, 0.06792907311802138)	(22, 0.0731943110417417)	(23, 0.07670238524032497)	(24, 0.08074198583263296)	(25, 0.08536939208388362)	(26, 0.08960284347860888)	(27, 0.09340482050666346)	(28, 0.0994829811501981)	(29, 0.10447932925121063)	(30, 0.10937562532516909)	(31, 0.11380918077400248)	(32, 0.11864919758274303)	(33, 0.12381438347940929)	(34, 0.12838551046544203)	(35, 0.13332557930123665)	(36, 0.1377153619882339)	(37, 0.14234276823948452)	(38, 0.14706397326609838)	(39, 0.15208533437387442)	(40, 0.15775078040581103)	(41, 0.16315984311842158)	(42, 0.1702385240324969)	(43, 0.17565383999679834)	(44, 0.18011866170408614)	(45, 0.18684090727178132)	(46, 0.1906178712930724)	(47, 0.20398732340817224)	(48, 0.2081332292792252)	(49, 0.21473040981310282)	(50, 0.22080857045663746)	(51, 0.2249294633209269)	(52, 0.22930673950454236)
SRR1039516_1 - polya	(1, 0.006222443738481163)	(2, 0.008297875158680017)	(3, 0.010346352924071092)	(4, 0.012964707962540888)	(5, 0.014708994480815621)	(6, 0.016460982043321148)	(7, 0.01804739715486461)	(8, 0.020095874920255687)	(9, 0.022614116383725166)	(10, 0.025363389174118452)	(11, 0.027943238991434284)	(12, 0.030484583587596144)	(13, 0.032648577016449125)	(14, 0.036017783867421285)	(15, 0.038740103003006794)	(16, 0.04176661338570865)	(17, 0.04465835549437162)	(18, 0.04739607671841871)	(19, 0.05001443175688851)	(20, 0.052417157556896084)	(21, 0.05558228673575222)	(22, 0.05900540089633994)	(23, 0.061970302925195446)	(24, 0.0651123289713592)	(25, 0.06793861220406042)	(26, 0.0709381689319545)	(27, 0.07358732814734746)	(28, 0.07773048994351438)	(29, 0.08111124836083274)	(30, 0.08441114581372776)	(31, 0.08779190423104612)	(32, 0.09133823509932652)	(33, 0.09527731922337741)	(34, 0.09887755740127338)	(35, 0.10246624401282316)	(36, 0.10597021913783422)	(37, 0.10952425105034543)	(38, 0.11273943701670172)	(39, 0.11640513407055943)	(40, 0.12136460655519046)	(41, 0.12537685059943388)	(42, 0.1301014412350257)	(43, 0.13410598423503833)	(44, 0.13742898482062574)	(45, 0.1417800748110241)	(46, 0.1448527914591107)	(47, 0.14834521501777556)	(48, 0.15177988074470947)	(49, 0.15581522792164526)	(50, 0.16008930746973565)	(51, 0.16321593142743784)	(52, 0.1664542205264865)
SRR1039516_2 - polya	(1, 0.005629463332710062)	(2, 0.0074315076827157454)	(3, 0.009556995890414756)	(4, 0.011959721690422335)	(5, 0.013542286279850402)	(6, 0.015063242515432123)	(7, 0.016460982043321148)	(8, 0.018524861897173808)	(9, 0.020812072033719483)	(10, 0.023257153576996425)	(11, 0.025625224677965432)	(12, 0.028081857787588566)	(13, 0.029933958925094407)	(14, 0.03332241838664356)	(15, 0.03605628908857526)	(16, 0.03924452140012377)	(17, 0.042140114030902134)	(18, 0.04494329413091098)	(19, 0.047738773186689024)	(20, 0.05029551987131247)	(21, 0.053757139253054156)	(22, 0.057530650926142984)	(23, 0.06081899681269182)	(24, 0.06430756984924128)	(25, 0.0676074673021363)	(26, 0.07094972049830069)	(27, 0.07397623088100254)	(28, 0.07858915637524785)	(29, 0.08247048266756779)	(30, 0.08609382397815614)	(31, 0.0898211293858602)	(32, 0.09347912539548713)	(33, 0.09786487008492403)	(34, 0.10179240264262873)	(35, 0.10585085295225691)	(36, 0.10941258590899891)	(37, 0.1132246028032417)	(38, 0.11712133118402322)	(39, 0.1211990341042284)	(40, 0.12661286819847625)	(41, 0.13116418533887522)	(42, 0.136897612768701)	(43, 0.14169921384660075)	(44, 0.14559594222738226)	(45, 0.15034363599566647)	(46, 0.15385146164279292)	(47, 0.206491949482382)	(48, 0.2105619513583564)	(49, 0.21522878416221727)	(50, 0.22048859737184923)	(51, 0.2240849850276298)	(52, 0.2278738987891802)
