Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00032179152065935085)	(8, 0.00039777007414836424)	(9, 0.0019396877773077536)	(10, 0.005702860838351829)	(11, 0.0031374673264286702)	(12, 0.0)	(13, 0.0015285097231319165)	(14, 0.0)	(15, 3.575461340659454e-05)	(16, 1.3407980027472951e-05)	(17, 0.004639161089505641)	(18, 0.0035754613406594536)	(19, 0.02019688724805009)	(20, 0.02603829721335247)	(21, 0.0024894149584341447)	(22, 0.024116486742748015)	(23, 0.007016842881044178)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039508_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 10.641734974738249)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0009306756279991077)	(50, 0.0017541484043559084)	(51, 0.001875171993326178)	(52, 0.010603216494003722)	(53, 0.01525084552218479)	(54, 0.008993988174763443)	(55, 0.026792804179928187)	(56, 0.010621886845648446)	(57, 0.019258566680726914)	(58, 0.00043003573865760584)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003626286302556159)	(8, 0.00044593520747650067)	(9, 0.0021169671387895415)	(10, 0.006100981684705971)	(11, 0.003136247613021543)	(12, 0.0)	(13, 0.0015975261278828488)	(14, 0.0)	(15, 2.4501934476730803e-05)	(16, 2.940232137207697e-05)	(17, 0.004944490377404277)	(18, 0.003498876243277159)	(19, 0.020542421865291108)	(20, 0.026030855188078808)	(21, 0.0023276837752894265)	(22, 0.02478125652976554)	(23, 0.007605400461577242)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 10.631580484542416)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0010548673813368643)	(50, 0.001771376267110587)	(51, 0.0020267423003054)	(52, 0.010778052704285081)	(53, 0.015417811651477348)	(54, 0.00909678319483935)	(55, 0.02742130086651311)	(56, 0.011186040450057914)	(57, 0.01956620197919205)	(58, 0.0004715528382323252)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039512_1	(1, 0.0003397506695396279)	(2, 0.0006130283819954155)	(3, 0.0010598743712812305)	(4, 0.0002695847703955743)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.4771768240853385e-05)	(11, 0.0007312025279222426)	(12, 0.0)	(13, 0.0)	(14, 0.001107882618064004)	(15, 0.0)	(16, 0.0034196643477575586)	(17, 0.0)	(18, 7.385884120426693e-05)	(19, 0.002289624077332275)	(20, 0.002407798223259102)	(21, 0.0002289624077332275)	(22, 0.0022453087726097146)	(23, 0.0041619457018604415)	(24, 0.006547586272758263)	(25, 0.007806879515291015)	(26, 0.001717218057999206)	(27, 0.0005280907146105085)	(28, 0.0)	(29, 0.00024373417597408086)	(30, 0.0)	(31, 0.0007312025279222426)	(32, 5.53941309032002e-05)	(33, 0.0009195425729931232)	(34, 0.0)	(35, 0.0005908707296341354)	(36, 0.00099340141419739)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.2186497852069676e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.003785115689304532)	(60, 0.0005291883649315531)	(61, 0.0003442193377464226)	(62, 0.0007848293668044796)	(63, 2.5919806931504394e-05)
SRR1039512_2	(1, 0.0)	(2, 0.0)	(3, 2.954353648170677e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039513_1	(1, 0.0017133909633009164)	(2, 0.003770710769600192)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00013757153719934367)	(13, 0.0)	(14, 0.0)	(15, 0.0003439288429983591)	(16, 0.0001313182855084644)	(17, 0.0)	(18, 0.0)	(19, 0.00014382478889022292)	(20, 5.627926521791331e-05)	(21, 0.001356955616920799)	(22, 0.00043147436667066876)	(23, 0.0011130788009765078)	(24, 0.004683685516468564)	(25, 0.012731620442630166)	(26, 0.0)	(27, 0.0044147956937607554)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.3772761836154797e-05)	(32, 0.0007941629647416656)	(33, 0.002182384840116861)	(34, 0.0017196442149917958)	(35, 0.0006003121623244088)	(36, 0.00046274062512506505)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 5.633035877744345e-05)	(49, 0.0)	(50, 0.0)	(51, 6.260435363196028e-06)	(52, 0.0)	(53, 0.0)	(54, 9.393049331355784e-05)	(55, 1.2525284635527682e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0006704238808244485)	(60, 0.00028826487481220487)	(61, 0.0)	(62, 0.0)	(63, 0.0005455035210684746)
SRR1039513_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039516_1	(1, 2.3103132692380557e-05)	(2, 0.00010011357500031575)	(3, 0.00032729437980872457)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.9252610576983797e-05)	(11, 7.315992019253843e-05)	(12, 0.7013649022752889)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0041008060528975486)	(17, 0.0)	(18, 0.0)	(19, 3.850522115396759e-06)	(20, 0.001004986272118554)	(21, 0.00025413445961618614)	(22, 0.0014747499701969588)	(23, 0.0010011357500031575)	(24, 0.0023603700567382136)	(25, 0.0015132551913509264)	(26, 0.00043510899903983385)	(27, 4.235574326936435e-05)	(28, 3.850522115396759e-06)	(29, 0.00014631984038507686)	(30, 1.5402088461587037e-05)	(31, 0.0014516468375045783)	(32, 0.0007354497240407811)	(33, 0.0001886755836544412)	(34, 0.0002117787163468218)	(35, 0.0008625169538488741)	(36, 0.000304191247116344)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 1.1559904271662067e-05)	(48, 3.853588455789649e-06)	(49, 7.707737099724205e-06)	(50, 0.0)	(51, 1.541789847645338e-05)	(52, 7.324115509936339e-05)	(53, 0.0)	(54, 0.0)	(55, 0.005120591076614299)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0011616112713804493)	(62, 0.0)	(63, 9.651902588829451e-05)
SRR1039516_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)
