Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_1	(1, 38.358991916552306)	(2, 40.042063917181586)	(3, 40.09545663892779)	(4, 40.12230602954627)	(5, 40.14303400688321)	(6, 40.13460172824393)	(7, 40.18795221485305)	(8, 40.08846361755793)	(9, 40.11134366507581)	(10, 40.035646008768374)	(11, 39.83547604027489)	(12, 39.870824123727054)	(13, 39.926206857868934)	(14, 39.818051074124455)	(15, 39.75538087937131)	(16, 39.61968859072521)	(17, 39.49668449704544)	(18, 39.36823922160419)	(19, 39.25793163583837)	(20, 39.3141540670761)	(21, 39.32522043277831)	(22, 39.30181523937602)	(23, 39.19630838085904)	(24, 39.19949845216044)	(25, 39.271476287875586)	(26, 39.34562009337764)	(27, 39.21768552789564)	(28, 39.24677592829591)	(29, 39.25854326319396)	(30, 39.21524098497703)	(31, 39.160275954106275)	(32, 38.9335097823505)	(33, 38.90296904075065)	(34, 38.7615912322537)	(35, 38.783340718895666)	(36, 38.62281323108408)	(37, 38.60413097581948)	(38, 38.73221962697352)	(39, 38.75090540476256)	(40, 38.69765760396834)	(41, 38.65207527297373)	(42, 38.45287449925428)	(43, 38.40130338303554)	(44, 38.31432959165734)	(45, 38.19974633823358)	(46, 38.113492548120846)	(47, 37.9339553332564)	(48, 37.721644131161646)	(49, 37.608170421248744)	(50, 37.516236287852024)	(51, 37.38218105975158)	(52, 37.133119461242536)	(53, 37.01491613827829)	(54, 36.78615394446583)	(55, 36.61677258013743)	(56, 36.47756018311993)	(57, 36.285858417778975)	(58, 36.10641882206918)	(59, 35.886081895408196)	(60, 35.54530421550919)	(61, 35.33460550221423)	(62, 35.12745688874352)	(63, 34.30129191145988)
SRR1039508_2	(1, 38.38495226870843)	(2, 40.06641195973941)	(3, 40.00231587100361)	(4, 40.07523244409375)	(5, 40.03133762254615)	(6, 40.006711051549885)	(7, 39.99807617833239)	(8, 39.97052505873254)	(9, 34.31529374537844)	(10, 36.29206656525764)	(11, 38.447913014388774)	(12, 39.30551856815288)	(13, 39.53495234692165)	(14, 39.63858249047419)	(15, 39.67669941118856)	(16, 39.76454371414901)	(17, 39.72206303225491)	(18, 39.61258441720092)	(19, 39.62819443448157)	(20, 39.50935494878487)	(21, 39.69728034767786)	(22, 39.730454640021435)	(23, 39.7412730027864)	(24, 39.57291404792057)	(25, 39.62630819985131)	(26, 39.606883210013436)	(27, 39.55429858722349)	(28, 39.486180596105385)	(29, 39.46664512451209)	(30, 39.35954669407258)	(31, 39.30766969977522)	(32, 39.28378637780514)	(33, 39.304800213276266)	(34, 39.345445744944016)	(35, 39.33361659925805)	(36, 39.26822074093838)	(37, 39.21389347395313)	(38, 39.12622686842122)	(39, 37.490371312682406)	(40, 38.143065797532984)	(41, 38.49153124090798)	(42, 38.649784100742615)	(43, 38.621787253628014)	(44, 38.51957289739455)	(45, 38.426994796511664)	(46, 38.27304059523061)	(47, 38.13490847050552)	(48, 37.91118402965482)	(49, 37.74961809859837)	(50, 37.56497562583943)	(51, 37.399856171175365)	(52, 37.210421390800946)	(53, 36.861696272719314)	(54, 36.68844986129157)	(55, 36.49239062421995)	(56, 36.29345143211649)	(57, 36.06456698725164)	(58, 35.80943454511133)	(59, 35.812189042856524)	(60, 35.59477163491433)	(61, 35.49076412689271)	(62, 35.220825910019144)	(63, 34.42671245137386)
SRR1039509_1	(1, 38.36073894306103)	(2, 40.04546569160728)	(3, 40.10029999188496)	(4, 40.12859801107017)	(5, 40.15083464369679)	(6, 40.13860072980482)	(7, 40.19293533763078)	(8, 40.09583128007122)	(9, 40.116789499764586)	(10, 40.034532487408946)	(11, 39.84489633525546)	(12, 39.8761321853883)	(13, 39.92576188275217)	(14, 39.816645359784445)	(15, 39.7522335963469)	(16, 39.62479580087807)	(17, 39.50944730888393)	(18, 39.36256291606735)	(19, 39.262324375034055)	(20, 39.31124204618203)	(21, 39.330549080511005)	(22, 39.30685732699968)	(23, 39.203105845612725)	(24, 39.20910832952083)	(25, 39.28879435389183)	(26, 39.36187254956153)	(27, 39.229301745831435)	(28, 39.265963647361886)	(29, 39.25109131616159)	(30, 39.192326072528076)	(31, 39.15419812225015)	(32, 38.944746471623425)	(33, 38.913606228038915)	(34, 38.77002802825289)	(35, 38.794051439949286)	(36, 38.632729576265504)	(37, 38.61790764704698)	(38, 38.74712224453849)	(39, 38.76894279071877)	(40, 38.71528789084657)	(41, 38.65745531834018)	(42, 38.46945288659147)	(43, 38.42094668654413)	(44, 38.33899714592268)	(45, 38.223211401538435)	(46, 38.140126708262365)	(47, 37.95793214181015)	(48, 37.75251521869795)	(49, 37.64096056527927)	(50, 37.547906758464336)	(51, 37.40015158456229)	(52, 37.14330374734909)	(53, 37.03547801389385)	(54, 36.81284225102167)	(55, 36.637471823188356)	(56, 36.490197127578966)	(57, 36.29479422176238)	(58, 36.10683733395938)	(59, 35.88002225540464)	(60, 35.53172035063018)	(61, 35.293820367567754)	(62, 35.05724866398458)	(63, 34.230111420413834)
SRR1039509_2	(1, 38.14704992788591)	(2, 39.74767898075089)	(3, 39.68451333669696)	(4, 39.76302008296159)	(5, 39.71529330383692)	(6, 39.70894362751728)	(7, 39.637386168912805)	(8, 39.62517406174252)	(9, 34.09335041020159)	(10, 36.097796090196915)	(11, 38.22599329862291)	(12, 39.000301667817276)	(13, 39.21211721607845)	(14, 39.3625568395876)	(15, 39.3891631472088)	(16, 39.50886210468089)	(17, 39.41742137525242)	(18, 39.26489065864728)	(19, 39.30961844999587)	(20, 39.2446234915139)	(21, 39.41475326159951)	(22, 39.47708191957172)	(23, 39.44466110688371)	(24, 39.30561944026605)	(25, 39.36642500898731)	(26, 39.325024237313585)	(27, 39.33443322517199)	(28, 39.23046142239022)	(29, 39.3166765262451)	(30, 39.17873288931908)	(31, 39.13436630548855)	(32, 39.10786633626298)	(33, 39.10202311492897)	(34, 39.163939650363275)	(35, 39.13832993442498)	(36, 39.102874998186856)	(37, 39.10243708413628)	(38, 38.981713624514285)	(39, 37.357480604665156)	(40, 37.97173883363666)	(41, 38.337011024542974)	(42, 38.51309010266151)	(43, 38.47954293457933)	(44, 38.37567127679498)	(45, 38.25963323287804)	(46, 38.11392491736423)	(47, 37.9928962339415)	(48, 37.786279436659186)	(49, 37.656316504175386)	(50, 37.48316093409725)	(51, 37.30757271894939)	(52, 37.12705272578229)	(53, 36.7751494523928)	(54, 36.580239715210304)	(55, 36.36634244231143)	(56, 36.16698386637091)	(57, 35.94430655445175)	(58, 35.69132465577871)	(59, 35.69572790445295)	(60, 35.478327651843685)	(61, 35.37492692783815)	(62, 35.10856806507649)	(63, 34.29447506546707)
SRR1039512_1	(1, 38.18589982281633)	(2, 39.778960651739276)	(3, 39.674169690909245)	(4, 39.66093060441164)	(5, 39.76932199910328)	(6, 39.73435234899366)	(7, 39.72576917612789)	(8, 39.65302050716576)	(9, 39.661577201636966)	(10, 39.4797785756256)	(11, 39.54401652724518)	(12, 39.63008035731135)	(13, 39.64268654739867)	(14, 39.61715624184206)	(15, 39.54878160424431)	(16, 39.4370850633382)	(17, 39.40632813688377)	(18, 39.39455023677113)	(19, 39.33741492061596)	(20, 39.40700907847025)	(21, 39.42929133069665)	(22, 39.46792083410562)	(23, 39.43749704795444)	(24, 39.29546483449471)	(25, 39.2906143028163)	(26, 39.29172384725829)	(27, 39.29656510965213)	(28, 39.20579067348221)	(29, 39.16500061432091)	(30, 39.08448690687704)	(31, 39.00367314789077)	(32, 38.93188896460651)	(33, 38.91691833143572)	(34, 38.721643716693585)	(35, 38.67475299110765)	(36, 38.66205314800968)	(37, 38.602396651389)	(38, 38.44930707192181)	(39, 38.406694787483794)	(40, 38.22377835257151)	(41, 38.0819801282326)	(42, 38.022859306954196)	(43, 37.88210803954459)	(44, 37.761903832892585)	(45, 37.578634193672286)	(46, 37.426194232515186)	(47, 37.27057066381734)	(48, 37.124321187358994)	(49, 36.681862106376386)	(50, 36.59368924687107)	(51, 36.468798334374284)	(52, 36.35406765872769)	(53, 36.121382370376665)	(54, 35.893943918080055)	(55, 35.65784601126963)	(56, 35.47647574091989)	(57, 35.21969209126286)	(58, 34.99577105793915)	(59, 34.86014763431194)	(60, 34.61810858900841)	(61, 34.33431866427203)	(62, 34.03991390421846)	(63, 32.05967443093249)
SRR1039512_2	(1, 38.20838223250239)	(2, 39.78038520413901)	(3, 39.75711641937065)	(4, 39.769581206706484)	(5, 39.751998112463454)	(6, 39.725811755749845)	(7, 39.728549555275606)	(8, 39.66672545830426)	(9, 39.62223126746831)	(10, 39.52899131239073)	(11, 39.47357860598897)	(12, 39.46274499116113)	(13, 39.380490209253544)	(14, 39.36220128299455)	(15, 39.11530834902926)	(16, 39.34129346994413)	(17, 39.33048507791055)	(18, 39.30068624834422)	(19, 39.29726710100835)	(20, 39.252332305255194)	(21, 39.38168166315043)	(22, 39.383961944084355)	(23, 39.43245008868785)	(24, 39.401304664728684)	(25, 39.373920982340316)	(26, 39.31770184818086)	(27, 39.25231350818011)	(28, 39.245251901301984)	(29, 39.17101567834859)	(30, 39.10529903579868)	(31, 39.096121336190635)	(32, 39.016808204210534)	(33, 38.91276676290104)	(34, 38.863860835762274)	(35, 38.78291169352008)	(36, 38.63975837670971)	(37, 38.55267504306919)	(38, 38.46689553742647)	(39, 36.644584223605484)	(40, 37.33940932544416)	(41, 37.70802114995589)	(42, 37.98740447380358)	(43, 37.9915813466631)	(44, 37.97452719337149)	(45, 37.82329560216392)	(46, 37.73504515381743)	(47, 37.556329350588456)	(48, 37.38956537769926)	(49, 37.22148386902186)	(50, 37.08028627468564)	(51, 36.864837741416565)	(52, 36.68437677644939)	(53, 36.464977066227476)	(54, 36.29451788277949)	(55, 36.09427498658509)	(56, 35.907310544659644)	(57, 35.672565558563186)	(58, 35.40680700890397)	(59, 35.226175499497444)	(60, 35.00870588872671)	(61, 34.69979783961281)	(62, 34.476669929014776)	(63, 32.94074350744013)
SRR1039513_1	(1, 37.909714551566815)	(2, 39.366082050166085)	(3, 39.25220802317205)	(4, 39.191529032596954)	(5, 39.324007233761556)	(6, 39.28557205997119)	(7, 39.34236965722175)	(8, 39.29880556639453)	(9, 39.30621473166046)	(10, 39.142641486072755)	(11, 39.12883618231481)	(12, 39.176107263276904)	(13, 39.21178300216113)	(14, 39.14999462220354)	(15, 39.1333494667227)	(16, 39.07856516638652)	(17, 39.00483351342698)	(18, 38.95885122763837)	(19, 38.78699479979589)	(20, 38.94233745297555)	(21, 38.94750801666867)	(22, 38.962167577140114)	(23, 38.93511669818305)	(24, 38.85148420928883)	(25, 38.89945765548085)	(26, 38.870747038459996)	(27, 38.78004212190339)	(28, 38.66428599121543)	(29, 38.681533772561735)	(30, 38.619786038740145)	(31, 38.5187244867331)	(32, 38.543909958178254)	(33, 38.52599526753912)	(34, 38.24297709809101)	(35, 38.289687700104054)	(36, 38.21022281586425)	(37, 37.893768583739124)	(38, 37.989790527634504)	(39, 38.00951145381842)	(40, 37.801673452879264)	(41, 37.56188824879049)	(42, 37.48747878785225)	(43, 37.54786036973113)	(44, 37.483593633511504)	(45, 37.26255925089968)	(46, 36.85823027065265)	(47, 36.82561697460192)	(48, 36.710012314442324)	(49, 36.13144205353519)	(50, 35.9310611846306)	(51, 35.86376898242258)	(52, 35.84986579983505)	(53, 35.777056351868666)	(54, 35.5905077600677)	(55, 35.38334767165292)	(56, 35.00602703145026)	(57, 34.67689589221344)	(58, 34.54736541197923)	(59, 34.33789620484946)	(60, 34.00562505036802)	(61, 33.68950994496376)	(62, 33.478722770699456)	(63, 31.70585302705547)
SRR1039513_2	(1, 37.823835957197744)	(2, 39.18250727878497)	(3, 39.2763642719214)	(4, 39.25560328871013)	(5, 39.22382457627967)	(6, 39.21094681734502)	(7, 39.2012858561452)	(8, 39.14694741265458)	(9, 39.11959850372194)	(10, 38.932051166606634)	(11, 38.873004712450474)	(12, 38.818660140773204)	(13, 38.880899567775245)	(14, 38.65403491065354)	(15, 38.63905412064273)	(16, 38.821124797394646)	(17, 38.805739734662026)	(18, 38.71608855354784)	(19, 38.73697672789851)	(20, 38.63357627216153)	(21, 38.8310950444231)	(22, 38.62516058350342)	(23, 38.81052584844119)	(24, 38.74819293532637)	(25, 38.63819367321007)	(26, 38.68296057700004)	(27, 38.69304482080682)	(28, 38.72092062872694)	(29, 38.54843875065034)	(30, 38.48483261295874)	(31, 38.468358421379115)	(32, 38.46186435696562)	(33, 38.419795668747746)	(34, 38.35296885630528)	(35, 38.27288908982671)	(36, 38.117051491775726)	(37, 38.08413467581729)	(38, 37.95537532078546)	(39, 36.0848250627174)	(40, 36.79078536289818)	(41, 37.322297438007034)	(42, 37.53936815092007)	(43, 37.468111606312185)	(44, 37.3609809837907)	(45, 37.311971388112084)	(46, 37.15064266956436)	(47, 37.05386580006412)	(48, 36.93490113239668)	(49, 36.75496648573562)	(50, 36.63444612071664)	(51, 36.427355535758664)	(52, 36.316779694412176)	(53, 35.92739259916575)	(54, 35.67075264312581)	(55, 35.54485633216704)	(56, 35.40182959249393)	(57, 35.103412234216975)	(58, 34.846883042608845)	(59, 34.64709375633613)	(60, 34.33100258648792)	(61, 33.94104793434987)	(62, 33.545851319239496)	(63, 32.07712893094853)
SRR1039516_1	(1, 37.78347955819417)	(2, 39.36117227451574)	(3, 39.35340804321703)	(4, 39.30849112516261)	(5, 39.36789917515655)	(6, 39.39576228478277)	(7, 39.43391252630292)	(8, 39.401618004794976)	(9, 39.33692041556067)	(10, 39.33109611580892)	(11, 39.2777906428)	(12, 39.040180275284605)	(13, 39.157985382185885)	(14, 39.20517168245946)	(15, 39.16469291470046)	(16, 39.13088656269436)	(17, 39.08630421650654)	(18, 39.04831558139958)	(19, 38.97545580940593)	(20, 39.07730500724976)	(21, 39.086408142098435)	(22, 39.03930974924476)	(23, 39.01934987476562)	(24, 38.81336553961371)	(25, 38.87971049772465)	(26, 38.96392234051368)	(27, 38.92333714432342)	(28, 38.84341243435245)	(29, 38.811418715632165)	(30, 38.76495635202151)	(31, 38.4947231289774)	(32, 38.52128352996153)	(33, 38.52111826555234)	(34, 38.429341648510174)	(35, 38.341186254991435)	(36, 38.28541625530256)	(37, 38.11852563046564)	(38, 38.00159778705145)	(39, 37.911742313037124)	(40, 37.823751714114444)	(41, 37.708471351499924)	(42, 37.60407741965704)	(43, 37.48510589251293)	(44, 37.386301603863735)	(45, 37.11393495352406)	(46, 36.84429425036616)	(47, 36.652152577481026)	(48, 36.38084748810966)	(49, 36.18130917687419)	(50, 36.03484886138833)	(51, 35.83187564169775)	(52, 35.51032667521121)	(53, 35.17678711349556)	(54, 35.235580533528456)	(55, 34.85317927397576)	(56, 34.70013838288502)	(57, 34.59232649572208)	(58, 34.433589542280764)	(59, 34.13161648094654)	(60, 33.835688011443)	(61, 33.374669071034766)	(62, 33.2734840375476)	(63, 31.535421227753666)
SRR1039516_2	(1, 37.905794935670095)	(2, 39.38746148322728)	(3, 39.37182081641542)	(4, 39.333247286999125)	(5, 39.341544700095156)	(6, 39.31033013452492)	(7, 39.294839522559904)	(8, 39.198056418158075)	(9, 39.03655716500535)	(10, 39.131138463851144)	(11, 38.861921085551515)	(12, 38.95852105912153)	(13, 38.799022883806956)	(14, 38.77693609642693)	(15, 38.7586443066334)	(16, 38.80086566668094)	(17, 38.77931960812158)	(18, 38.79297151876606)	(19, 38.76120890838314)	(20, 38.725240950271896)	(21, 38.9367347664874)	(22, 38.88029419837212)	(23, 38.95906290459361)	(24, 38.87895067419562)	(25, 38.8115340002643)	(26, 38.86984626867465)	(27, 38.83873401147702)	(28, 38.71922266121597)	(29, 38.67918104323274)	(30, 38.654779244946496)	(31, 38.585178169819116)	(32, 38.50809965028018)	(33, 38.344157086824346)	(34, 38.31710424256688)	(35, 38.23587093265498)	(36, 38.124062628896226)	(37, 38.078392273627195)	(38, 37.77138651832035)	(39, 36.01241821403787)	(40, 36.87448865429942)	(41, 37.36408269850562)	(42, 37.52278414499697)	(43, 37.4678964450738)	(44, 37.34711578364706)	(45, 37.29628837811161)	(46, 37.23421545222498)	(47, 37.117790029906246)	(48, 36.938391872103715)	(49, 36.61429200214753)	(50, 36.51811027864659)	(51, 36.322678113634)	(52, 36.11566821432937)	(53, 36.03210083816559)	(54, 35.778261707046454)	(55, 35.48088666119185)	(56, 35.31545019749014)	(57, 35.06653981316459)	(58, 34.82510962116619)	(59, 34.144052522571066)	(60, 34.06898586869023)	(61, 33.913556092298)	(62, 33.63644935850196)	(63, 32.07658213311603)
