Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1039508_1	(0.0, 195.0)	(1.0, 119.0)	(2.0, 54.5)	(3.0, 66.5)	(4.0, 77.0)	(5.0, 88.5)	(6.0, 115.0)	(7.0, 168.0)	(8.0, 195.0)	(9.0, 265.5)	(10.0, 584.5)	(11.0, 832.5)	(12.0, 1323.0)	(13.0, 2654.0)	(14.0, 3497.0)	(15.0, 5203.0)	(16.0, 6913.0)	(17.0, 10533.5)	(18.0, 20420.0)	(19.0, 26715.0)	(20.0, 36047.5)	(21.0, 57456.5)	(22.0, 69586.5)	(23.0, 87875.0)	(24.0, 106208.5)	(25.0, 127936.0)	(26.0, 173612.0)	(27.0, 197728.5)	(28.0, 227206.5)	(29.0, 292476.0)	(30.0, 328537.5)	(31.0, 359291.0)	(32.0, 389953.0)	(33.0, 427705.5)	(34.0, 509734.5)	(35.0, 554351.5)	(36.0, 602047.5)	(37.0, 694496.5)	(38.0, 739603.0)	(39.0, 785423.5)	(40.0, 892148.5)	(41.0, 953634.5)	(42.0, 975685.0)	(43.0, 997336.0)	(44.0, 1010017.5)	(45.0, 1041237.5)	(46.0, 1060198.5)	(47.0, 1064108.0)	(48.0, 1082773.5)	(49.0, 1097841.5)	(50.0, 1094928.5)	(51.0, 1092022.0)	(52.0, 1099759.5)	(53.0, 1102560.0)	(54.0, 1097511.5)	(55.0, 1084055.0)	(56.0, 1059755.0)	(57.0, 1048931.0)	(58.0, 1025922.5)	(59.0, 1002499.5)	(60.0, 963319.0)	(61.0, 881313.5)	(62.0, 838017.0)	(63.0, 786663.5)	(64.0, 675550.5)	(65.0, 615375.5)	(66.0, 557906.0)	(67.0, 447713.0)	(68.0, 394417.5)	(69.0, 341381.0)	(70.0, 288430.5)	(71.0, 246324.5)	(72.0, 175575.0)	(73.0, 146526.5)	(74.0, 125889.0)	(75.0, 90590.5)	(76.0, 75683.0)	(77.0, 62875.0)	(78.0, 50078.0)	(79.0, 39649.0)	(80.0, 23679.5)	(81.0, 18053.0)	(82.0, 13615.0)	(83.0, 6842.0)	(84.0, 4478.0)	(85.0, 3147.0)	(86.0, 1820.5)	(87.0, 1197.0)	(88.0, 374.5)	(89.0, 163.0)	(90.0, 107.5)	(91.0, 42.5)	(92.0, 25.0)	(93.0, 14.5)	(94.0, 7.5)	(95.0, 9.0)	(96.0, 7.5)	(97.0, 5.0)	(98.0, 3.5)	(99.0, 9.0)	(100.0, 15.0)
SRR1039508_2	(0.0, 241.0)	(1.0, 159.0)	(2.0, 78.5)	(3.0, 81.0)	(4.0, 90.0)	(5.0, 98.5)	(6.0, 118.0)	(7.0, 184.0)	(8.0, 231.0)	(9.0, 301.0)	(10.0, 615.5)	(11.0, 859.5)	(12.0, 1376.0)	(13.0, 2787.5)	(14.0, 3683.0)	(15.0, 5549.5)	(16.0, 7421.0)	(17.0, 11147.0)	(18.0, 21443.5)	(19.0, 28038.5)	(20.0, 37534.5)	(21.0, 59633.5)	(22.0, 72279.0)	(23.0, 90916.5)	(24.0, 109594.5)	(25.0, 131116.5)	(26.0, 176818.0)	(27.0, 201123.0)	(28.0, 230615.0)	(29.0, 295513.5)	(30.0, 331079.0)	(31.0, 362810.0)	(32.0, 394508.0)	(33.0, 432079.0)	(34.0, 514927.5)	(35.0, 560413.0)	(36.0, 617346.5)	(37.0, 723140.5)	(38.0, 772261.5)	(39.0, 812473.0)	(40.0, 888607.0)	(41.0, 924722.0)	(42.0, 953492.5)	(43.0, 982312.5)	(44.0, 1003929.5)	(45.0, 1042462.0)	(46.0, 1059616.0)	(47.0, 1064571.5)	(48.0, 1083712.5)	(49.0, 1098074.0)	(50.0, 1095465.0)	(51.0, 1092785.0)	(52.0, 1097466.0)	(53.0, 1097742.0)	(54.0, 1093341.0)	(55.0, 1077972.0)	(56.0, 1050097.5)	(57.0, 1037585.0)	(58.0, 1014962.5)	(59.0, 992238.5)	(60.0, 954682.5)	(61.0, 873716.5)	(62.0, 830137.5)	(63.0, 778922.0)	(64.0, 668631.5)	(65.0, 609341.5)	(66.0, 552199.5)	(67.0, 442338.0)	(68.0, 389301.0)	(69.0, 336622.5)	(70.0, 283968.5)	(71.0, 243772.0)	(72.0, 175004.5)	(73.0, 146206.0)	(74.0, 125887.0)	(75.0, 90663.0)	(76.0, 75606.0)	(77.0, 62998.0)	(78.0, 50392.5)	(79.0, 40016.5)	(80.0, 23804.0)	(81.0, 17902.0)	(82.0, 13536.5)	(83.0, 6749.0)	(84.0, 4299.0)	(85.0, 2974.0)	(86.0, 1646.5)	(87.0, 1087.5)	(88.0, 340.0)	(89.0, 133.0)	(90.0, 86.0)	(91.0, 38.0)	(92.0, 29.0)	(93.0, 15.0)	(94.0, 6.5)	(95.0, 10.0)	(96.0, 7.0)	(97.0, 3.5)	(98.0, 12.0)	(99.0, 20.0)	(100.0, 19.0)
SRR1039509_1	(0.0, 223.0)	(1.0, 138.0)	(2.0, 57.0)	(3.0, 60.5)	(4.0, 77.0)	(5.0, 94.0)	(6.0, 118.5)	(7.0, 177.0)	(8.0, 210.0)	(9.0, 300.5)	(10.0, 574.5)	(11.0, 761.0)	(12.0, 1290.5)	(13.0, 2686.0)	(14.0, 3559.0)	(15.0, 5315.0)	(16.0, 7073.0)	(17.0, 10458.0)	(18.0, 19906.0)	(19.0, 26000.5)	(20.0, 34943.5)	(21.0, 55623.0)	(22.0, 67428.5)	(23.0, 85421.5)	(24.0, 103415.5)	(25.0, 124023.0)	(26.0, 168118.0)	(27.0, 191736.5)	(28.0, 218443.0)	(29.0, 278855.0)	(30.0, 312775.5)	(31.0, 342339.0)	(32.0, 371906.5)	(33.0, 406996.0)	(34.0, 480980.5)	(35.0, 520247.5)	(36.0, 563661.0)	(37.0, 648432.0)	(38.0, 690117.0)	(39.0, 732424.0)	(40.0, 847296.0)	(41.0, 920547.0)	(42.0, 925741.5)	(43.0, 930438.5)	(44.0, 937528.5)	(45.0, 957238.0)	(46.0, 970108.0)	(47.0, 973286.5)	(48.0, 989628.5)	(49.0, 1003270.5)	(50.0, 1000611.0)	(51.0, 997720.0)	(52.0, 999805.0)	(53.0, 993198.0)	(54.0, 984154.5)	(55.0, 972207.0)	(56.0, 947494.0)	(57.0, 934262.5)	(58.0, 908408.0)	(59.0, 882362.0)	(60.0, 848871.5)	(61.0, 775255.0)	(62.0, 734794.0)	(63.0, 689942.0)	(64.0, 593072.5)	(65.0, 540737.0)	(66.0, 489667.0)	(67.0, 392449.0)	(68.0, 345857.5)	(69.0, 300995.0)	(70.0, 256165.0)	(71.0, 219514.0)	(72.0, 157409.0)	(73.0, 131620.5)	(74.0, 113111.5)	(75.0, 81565.5)	(76.0, 68364.0)	(77.0, 56526.5)	(78.0, 44691.5)	(79.0, 35497.5)	(80.0, 20987.5)	(81.0, 15588.0)	(82.0, 11712.0)	(83.0, 5720.0)	(84.0, 3556.0)	(85.0, 2430.5)	(86.0, 1304.5)	(87.0, 857.0)	(88.0, 261.0)	(89.0, 98.5)	(90.0, 62.0)	(91.0, 20.0)	(92.0, 12.5)	(93.0, 9.5)	(94.0, 5.5)	(95.0, 4.0)	(96.0, 3.5)	(97.0, 3.0)	(98.0, 6.5)	(99.0, 28.0)	(100.0, 46.0)
SRR1039509_2	(0.0, 213.0)	(1.0, 142.0)	(2.0, 73.5)	(3.0, 77.0)	(4.0, 99.0)	(5.0, 119.5)	(6.0, 141.5)	(7.0, 206.5)	(8.0, 249.0)	(9.0, 350.5)	(10.0, 639.0)	(11.0, 829.0)	(12.0, 1400.5)	(13.0, 2929.5)	(14.0, 3891.0)	(15.0, 5731.0)	(16.0, 7578.0)	(17.0, 11242.5)	(18.0, 20930.5)	(19.0, 26986.5)	(20.0, 36310.0)	(21.0, 57842.0)	(22.0, 70105.0)	(23.0, 88162.0)	(24.0, 106233.0)	(25.0, 126651.0)	(26.0, 170802.0)	(27.0, 194620.0)	(28.0, 222209.5)	(29.0, 282574.5)	(30.0, 315476.0)	(31.0, 344776.0)	(32.0, 374075.0)	(33.0, 408612.0)	(34.0, 485692.0)	(35.0, 528440.5)	(36.0, 586199.5)	(37.0, 690259.5)	(38.0, 736766.0)	(39.0, 767090.0)	(40.0, 825883.0)	(41.0, 854550.0)	(42.0, 879694.5)	(43.0, 904838.5)	(44.0, 922540.0)	(45.0, 951331.0)	(46.0, 962723.0)	(47.0, 970644.0)	(48.0, 992673.5)	(49.0, 1007153.0)	(50.0, 1002473.0)	(51.0, 997690.5)	(52.0, 999690.5)	(53.0, 995716.0)	(54.0, 989687.5)	(55.0, 973838.5)	(56.0, 941881.5)	(57.0, 925552.5)	(58.0, 901718.0)	(59.0, 877893.0)	(60.0, 842498.0)	(61.0, 768181.0)	(62.0, 729120.5)	(63.0, 684616.0)	(64.0, 588651.5)	(65.0, 536973.0)	(66.0, 484901.5)	(67.0, 388201.0)	(68.0, 343329.0)	(69.0, 298635.0)	(70.0, 253902.5)	(71.0, 217777.5)	(72.0, 156377.0)	(73.0, 130928.0)	(74.0, 112683.0)	(75.0, 81015.0)	(76.0, 67496.5)	(77.0, 55898.5)	(78.0, 44310.0)	(79.0, 35033.0)	(80.0, 20483.5)	(81.0, 15149.5)	(82.0, 11304.0)	(83.0, 5459.0)	(84.0, 3422.0)	(85.0, 2312.0)	(86.0, 1205.5)	(87.0, 767.5)	(88.0, 204.5)	(89.0, 71.0)	(90.0, 46.5)	(91.0, 17.5)	(92.0, 12.5)	(93.0, 8.5)	(94.0, 4.5)	(95.0, 4.0)	(96.0, 4.5)	(97.0, 5.0)	(98.0, 10.5)	(99.0, 13.5)	(100.0, 11.0)
SRR1039512_1	(0.0, 175.0)	(1.0, 119.0)	(2.0, 60.5)	(3.0, 58.5)	(4.0, 88.5)	(5.0, 117.5)	(6.0, 133.0)	(7.0, 212.5)	(8.0, 277.0)	(9.0, 424.0)	(10.0, 819.5)	(11.0, 1069.0)	(12.0, 1732.0)	(13.0, 3356.5)	(14.0, 4321.5)	(15.0, 6332.0)	(16.0, 8340.0)	(17.0, 12493.0)	(18.0, 23785.0)	(19.0, 30937.0)	(20.0, 40532.0)	(21.0, 63881.0)	(22.0, 77670.0)	(23.0, 99133.5)	(24.0, 120608.5)	(25.0, 145217.0)	(26.0, 199445.5)	(27.0, 229146.5)	(28.0, 263356.5)	(29.0, 345091.0)	(30.0, 392773.5)	(31.0, 432160.5)	(32.0, 471568.5)	(33.0, 522909.0)	(34.0, 634044.0)	(35.0, 694136.5)	(36.0, 756557.0)	(37.0, 873571.0)	(38.0, 928467.0)	(39.0, 995939.5)	(40.0, 1110139.5)	(41.0, 1157094.5)	(42.0, 1195493.0)	(43.0, 1233865.5)	(44.0, 1265328.0)	(45.0, 1327243.5)	(46.0, 1357871.0)	(47.0, 1365625.5)	(48.0, 1387829.0)	(49.0, 1402402.5)	(50.0, 1387282.5)	(51.0, 1372110.5)	(52.0, 1365388.0)	(53.0, 1349822.0)	(54.0, 1340866.5)	(55.0, 1321396.0)	(56.0, 1280820.0)	(57.0, 1259551.5)	(58.0, 1215158.0)	(59.0, 1170733.0)	(60.0, 1128207.0)	(61.0, 1029936.5)	(62.0, 974015.0)	(63.0, 901602.5)	(64.0, 755650.0)	(65.0, 681964.0)	(66.0, 616032.0)	(67.0, 487491.5)	(68.0, 424668.0)	(69.0, 368740.0)	(70.0, 312828.5)	(71.0, 265603.0)	(72.0, 185456.5)	(73.0, 152358.0)	(74.0, 129749.5)	(75.0, 91058.0)	(76.0, 74869.0)	(77.0, 62058.5)	(78.0, 49253.5)	(79.0, 38420.5)	(80.0, 21784.5)	(81.0, 15950.0)	(82.0, 11887.5)	(83.0, 5786.5)	(84.0, 3743.0)	(85.0, 2556.0)	(86.0, 1371.0)	(87.0, 890.5)	(88.0, 262.5)	(89.0, 111.0)	(90.0, 75.5)	(91.0, 28.5)	(92.0, 16.5)	(93.0, 10.5)	(94.0, 3.5)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 1.0)
SRR1039512_2	(0.0, 222.0)	(1.0, 156.0)	(2.0, 88.0)	(3.0, 87.0)	(4.0, 104.0)	(5.0, 119.5)	(6.0, 144.0)	(7.0, 243.5)	(8.0, 318.5)	(9.0, 458.0)	(10.0, 839.0)	(11.0, 1081.0)	(12.0, 1746.5)	(13.0, 3429.0)	(14.0, 4449.5)	(15.0, 6426.5)	(16.0, 8401.0)	(17.0, 12664.5)	(18.0, 24336.0)	(19.0, 31759.0)	(20.0, 41637.0)	(21.0, 66255.5)	(22.0, 81026.0)	(23.0, 103087.5)	(24.0, 125170.5)	(25.0, 150145.0)	(26.0, 205821.5)	(27.0, 236614.0)	(28.0, 270603.5)	(29.0, 352987.5)	(30.0, 401551.5)	(31.0, 441961.0)	(32.0, 482384.5)	(33.0, 533000.5)	(34.0, 644510.5)	(35.0, 705698.5)	(36.0, 769881.5)	(37.0, 887781.5)	(38.0, 941804.0)	(39.0, 1008242.0)	(40.0, 1121548.5)	(41.0, 1168664.0)	(42.0, 1205835.0)	(43.0, 1242964.0)	(44.0, 1273181.5)	(45.0, 1332867.5)	(46.0, 1362527.0)	(47.0, 1365620.0)	(48.0, 1381777.5)	(49.0, 1394999.5)	(50.0, 1377995.5)	(51.0, 1360900.0)	(52.0, 1350520.5)	(53.0, 1331930.0)	(54.0, 1323583.5)	(55.0, 1302768.0)	(56.0, 1260448.5)	(57.0, 1238758.5)	(58.0, 1196478.5)	(59.0, 1154191.5)	(60.0, 1111991.0)	(61.0, 1018027.5)	(62.0, 966068.0)	(63.0, 895066.5)	(64.0, 752143.5)	(65.0, 680055.0)	(66.0, 614710.0)	(67.0, 487626.5)	(68.0, 425663.5)	(69.0, 369788.5)	(70.0, 313945.5)	(71.0, 266442.5)	(72.0, 186258.0)	(73.0, 153406.5)	(74.0, 130561.0)	(75.0, 91789.0)	(76.0, 75750.5)	(77.0, 62507.5)	(78.0, 49278.0)	(79.0, 38487.5)	(80.0, 21801.5)	(81.0, 15874.5)	(82.0, 11885.0)	(83.0, 5771.5)	(84.0, 3638.5)	(85.0, 2510.0)	(86.0, 1386.0)	(87.0, 885.0)	(88.0, 249.5)	(89.0, 111.0)	(90.0, 78.5)	(91.0, 31.5)	(92.0, 16.5)	(93.0, 11.0)	(94.0, 4.5)	(95.0, 3.0)	(96.0, 2.5)	(97.0, 2.0)	(98.0, 4.0)	(99.0, 5.0)	(100.0, 4.0)
SRR1039513_1	(0.0, 144.0)	(1.0, 92.5)	(2.0, 46.0)	(3.0, 50.5)	(4.0, 66.0)	(5.0, 82.0)	(6.0, 100.5)	(7.0, 171.5)	(8.0, 225.0)	(9.0, 317.5)	(10.0, 548.5)	(11.0, 688.5)	(12.0, 1135.5)	(13.0, 2319.5)	(14.0, 3057.0)	(15.0, 4794.5)	(16.0, 6538.0)	(17.0, 9781.5)	(18.0, 18717.0)	(19.0, 24420.5)	(20.0, 32342.0)	(21.0, 51231.0)	(22.0, 62222.0)	(23.0, 78753.0)	(24.0, 95302.0)	(25.0, 113829.0)	(26.0, 154299.0)	(27.0, 176337.5)	(28.0, 200364.0)	(29.0, 255422.5)	(30.0, 286561.0)	(31.0, 310653.5)	(32.0, 334777.0)	(33.0, 364980.0)	(34.0, 429933.5)	(35.0, 464867.0)	(36.0, 502280.5)	(37.0, 568423.5)	(38.0, 597342.5)	(39.0, 630950.5)	(40.0, 689316.5)	(41.0, 714218.0)	(42.0, 733942.0)	(43.0, 753633.0)	(44.0, 769238.5)	(45.0, 796787.0)	(46.0, 808809.0)	(47.0, 809790.0)	(48.0, 816327.0)	(49.0, 821923.0)	(50.0, 811110.0)	(51.0, 800320.0)	(52.0, 792072.5)	(53.0, 770968.5)	(54.0, 758093.0)	(55.0, 743404.0)	(56.0, 708623.0)	(57.0, 688459.0)	(58.0, 660290.5)	(59.0, 632081.0)	(60.0, 604405.5)	(61.0, 544920.0)	(62.0, 512946.0)	(63.0, 473715.5)	(64.0, 393975.5)	(65.0, 353309.0)	(66.0, 316427.5)	(67.0, 247011.5)	(68.0, 214316.0)	(69.0, 185445.5)	(70.0, 156590.5)	(71.0, 133058.5)	(72.0, 92244.0)	(73.0, 74863.0)	(74.0, 63552.5)	(75.0, 44312.5)	(76.0, 36330.0)	(77.0, 29995.5)	(78.0, 23668.0)	(79.0, 18682.0)	(80.0, 10764.0)	(81.0, 7814.5)	(82.0, 5915.0)	(83.0, 3001.5)	(84.0, 1982.0)	(85.0, 1333.0)	(86.0, 684.0)	(87.0, 470.5)	(88.0, 169.5)	(89.0, 76.5)	(90.0, 47.0)	(91.0, 13.5)	(92.0, 8.0)	(93.0, 5.5)	(94.0, 2.5)	(95.0, 2.0)	(96.0, 1.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1039513_2	(0.0, 156.0)	(1.0, 95.5)	(2.0, 51.5)	(3.0, 68.5)	(4.0, 80.0)	(5.0, 91.0)	(6.0, 123.0)	(7.0, 199.5)	(8.0, 245.5)	(9.0, 331.5)	(10.0, 589.0)	(11.0, 763.0)	(12.0, 1199.5)	(13.0, 2506.0)	(14.0, 3378.0)	(15.0, 5168.5)	(16.0, 6963.0)	(17.0, 10268.5)	(18.0, 19485.0)	(19.0, 25405.5)	(20.0, 33972.5)	(21.0, 53728.0)	(22.0, 64938.5)	(23.0, 82109.0)	(24.0, 99291.0)	(25.0, 117856.0)	(26.0, 157947.0)	(27.0, 179561.0)	(28.0, 204103.0)	(29.0, 259745.5)	(30.0, 290965.5)	(31.0, 315273.5)	(32.0, 339598.0)	(33.0, 370223.5)	(34.0, 435252.5)	(35.0, 469843.0)	(36.0, 507341.5)	(37.0, 574550.0)	(38.0, 604464.5)	(39.0, 637008.0)	(40.0, 693790.0)	(41.0, 718183.0)	(42.0, 735882.0)	(43.0, 753547.5)	(44.0, 769734.0)	(45.0, 796009.0)	(46.0, 806175.0)	(47.0, 806878.0)	(48.0, 811719.0)	(49.0, 815927.5)	(50.0, 803265.5)	(51.0, 790559.5)	(52.0, 781565.5)	(53.0, 759975.0)	(54.0, 747348.5)	(55.0, 732574.0)	(56.0, 699789.5)	(57.0, 681741.0)	(58.0, 655134.5)	(59.0, 628484.5)	(60.0, 600967.5)	(61.0, 542099.0)	(62.0, 510582.0)	(63.0, 471973.0)	(64.0, 393105.0)	(65.0, 352681.0)	(66.0, 317288.5)	(67.0, 248512.0)	(68.0, 214968.5)	(69.0, 186459.5)	(70.0, 157984.0)	(71.0, 134078.5)	(72.0, 92642.5)	(73.0, 75037.5)	(74.0, 64079.0)	(75.0, 44932.0)	(76.0, 36686.5)	(77.0, 30380.0)	(78.0, 24094.5)	(79.0, 18949.5)	(80.0, 10802.5)	(81.0, 7794.0)	(82.0, 5990.5)	(83.0, 3058.0)	(84.0, 1930.0)	(85.0, 1322.5)	(86.0, 714.0)	(87.0, 480.0)	(88.0, 164.5)	(89.0, 76.5)	(90.0, 49.0)	(91.0, 15.0)	(92.0, 7.0)	(93.0, 5.5)	(94.0, 3.0)	(95.0, 2.0)	(96.0, 3.0)	(97.0, 4.0)	(98.0, 3.0)	(99.0, 1.5)	(100.0, 1.0)
SRR1039516_1	(0.0, 240.0)	(1.0, 155.0)	(2.0, 81.5)	(3.0, 93.0)	(4.0, 97.5)	(5.0, 102.0)	(6.0, 126.5)	(7.0, 210.5)	(8.0, 270.5)	(9.0, 411.0)	(10.0, 839.0)	(11.0, 1126.5)	(12.0, 1753.5)	(13.0, 3310.0)	(14.0, 4241.5)	(15.0, 6158.0)	(16.0, 8074.5)	(17.0, 12074.0)	(18.0, 22902.0)	(19.0, 29748.5)	(20.0, 38900.5)	(21.0, 61861.0)	(22.0, 75694.5)	(23.0, 95877.5)	(24.0, 116100.5)	(25.0, 140673.5)	(26.0, 195017.5)	(27.0, 224895.5)	(28.0, 260070.0)	(29.0, 340553.0)	(30.0, 386011.0)	(31.0, 426434.0)	(32.0, 466872.5)	(33.0, 521678.5)	(34.0, 636923.0)	(35.0, 697593.5)	(36.0, 763608.0)	(37.0, 886278.5)	(38.0, 943189.0)	(39.0, 1009255.0)	(40.0, 1114123.0)	(41.0, 1153127.5)	(42.0, 1197511.0)	(43.0, 1241861.5)	(44.0, 1254856.5)	(45.0, 1293510.0)	(46.0, 1319277.0)	(47.0, 1322295.5)	(48.0, 1335925.0)	(49.0, 1346619.0)	(50.0, 1327225.0)	(51.0, 1307751.5)	(52.0, 1298572.5)	(53.0, 1277199.5)	(54.0, 1264917.0)	(55.0, 1240603.5)	(56.0, 1192379.0)	(57.0, 1168373.5)	(58.0, 1129865.0)	(59.0, 1091318.5)	(60.0, 1045425.0)	(61.0, 946208.0)	(62.0, 892663.5)	(63.0, 825142.5)	(64.0, 688830.5)	(65.0, 619739.0)	(66.0, 559112.0)	(67.0, 442237.5)	(68.0, 385654.5)	(69.0, 333954.0)	(70.0, 282305.5)	(71.0, 240754.5)	(72.0, 169634.5)	(73.0, 139916.5)	(74.0, 119291.0)	(75.0, 84098.0)	(76.0, 69452.5)	(77.0, 56026.0)	(78.0, 42592.0)	(79.0, 33125.5)	(80.0, 17961.0)	(81.0, 12219.5)	(82.0, 9099.5)	(83.0, 4290.0)	(84.0, 2586.0)	(85.0, 1720.0)	(86.0, 855.5)	(87.0, 561.5)	(88.0, 166.5)	(89.0, 63.5)	(90.0, 42.5)	(91.0, 15.0)	(92.0, 7.0)	(93.0, 6.5)	(94.0, 3.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.0)
SRR1039516_2	(0.0, 232.0)	(1.0, 147.0)	(2.0, 79.5)	(3.0, 96.5)	(4.0, 114.0)	(5.0, 132.0)	(6.0, 135.5)	(7.0, 200.5)	(8.0, 261.5)	(9.0, 369.0)	(10.0, 820.5)	(11.0, 1164.0)	(12.0, 1790.5)	(13.0, 3298.5)	(14.0, 4184.0)	(15.0, 6189.5)	(16.0, 8195.0)	(17.0, 12315.5)	(18.0, 23294.5)	(19.0, 30173.5)	(20.0, 39184.0)	(21.0, 62051.0)	(22.0, 75944.5)	(23.0, 97444.5)	(24.0, 118971.0)	(25.0, 143771.5)	(26.0, 198271.5)	(27.0, 228068.5)	(28.0, 263271.0)	(29.0, 343521.0)	(30.0, 388708.5)	(31.0, 429455.5)	(32.0, 470215.5)	(33.0, 525423.5)	(34.0, 641428.5)	(35.0, 702455.5)	(36.0, 769712.0)	(37.0, 895079.5)	(38.0, 953465.5)	(39.0, 1019429.0)	(40.0, 1123819.0)	(41.0, 1162495.0)	(42.0, 1193848.5)	(43.0, 1225124.5)	(44.0, 1243991.5)	(45.0, 1288529.0)	(46.0, 1314281.5)	(47.0, 1315531.0)	(48.0, 1325735.0)	(49.0, 1334739.0)	(50.0, 1313959.0)	(51.0, 1293129.5)	(52.0, 1282528.5)	(53.0, 1262050.5)	(54.0, 1252077.0)	(55.0, 1229957.5)	(56.0, 1184464.0)	(57.0, 1160977.5)	(58.0, 1125262.0)	(59.0, 1089547.5)	(60.0, 1045731.5)	(61.0, 950854.0)	(62.0, 899608.0)	(63.0, 832297.0)	(64.0, 695958.5)	(65.0, 626639.5)	(66.0, 566181.5)	(67.0, 447563.5)	(68.0, 389090.5)	(69.0, 337428.5)	(70.0, 285805.5)	(71.0, 243392.5)	(72.0, 171072.5)	(73.0, 141010.5)	(74.0, 120467.5)	(75.0, 84820.5)	(76.0, 69630.5)	(77.0, 56624.0)	(78.0, 43603.0)	(79.0, 33882.5)	(80.0, 18298.5)	(81.0, 12384.0)	(82.0, 9149.5)	(83.0, 4246.0)	(84.0, 2562.5)	(85.0, 1737.0)	(86.0, 915.0)	(87.0, 611.5)	(88.0, 198.5)	(89.0, 88.5)	(90.0, 55.5)	(91.0, 14.5)	(92.0, 6.0)	(93.0, 4.0)	(94.0, 2.0)	(95.0, 2.0)	(96.0, 3.5)	(97.0, 5.0)	(98.0, 5.5)	(99.0, 5.5)	(100.0, 5.0)
