Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR1039508_1	(17.0, 5.0)	(18.0, 70.0)	(19.0, 712.0)	(20.0, 3460.0)	(21.0, 8765.0)	(22.0, 14579.0)	(23.0, 20895.0)	(24.0, 28273.0)	(25.0, 37100.0)	(26.0, 47490.0)	(27.0, 61372.0)	(28.0, 80173.0)	(29.0, 104009.0)	(30.0, 135589.0)	(31.0, 177415.0)	(32.0, 235243.0)	(33.0, 320632.0)	(34.0, 480292.0)	(35.0, 747476.0)	(36.0, 1285392.0)	(37.0, 2309561.0)	(38.0, 3804851.0)	(39.0, 5488722.0)	(40.0, 6982659.0)		
SRR1039508_2	(17.0, 6.0)	(18.0, 101.0)	(19.0, 916.0)	(20.0, 5154.0)	(21.0, 12557.0)	(22.0, 20374.0)	(23.0, 27439.0)	(24.0, 35364.0)	(25.0, 44506.0)	(26.0, 53812.0)	(27.0, 65644.0)	(28.0, 80348.0)	(29.0, 99714.0)	(30.0, 126895.0)	(31.0, 166816.0)	(32.0, 228408.0)	(33.0, 311416.0)	(34.0, 461692.0)	(35.0, 762297.0)	(36.0, 1368660.0)	(37.0, 2494382.0)	(38.0, 4137196.0)	(39.0, 5612134.0)	(40.0, 6258904.0)		
SRR1039509_1	(17.0, 3.0)	(18.0, 56.0)	(19.0, 640.0)	(20.0, 3307.0)	(21.0, 8540.0)	(22.0, 14521.0)	(23.0, 20171.0)	(24.0, 27321.0)	(25.0, 35158.0)	(26.0, 45178.0)	(27.0, 57821.0)	(28.0, 75175.0)	(29.0, 96571.0)	(30.0, 126674.0)	(31.0, 163266.0)	(32.0, 213866.0)	(33.0, 291015.0)	(34.0, 433270.0)	(35.0, 672601.0)	(36.0, 1159621.0)	(37.0, 2078070.0)	(38.0, 3423790.0)	(39.0, 4976344.0)	(40.0, 6483573.0)		
SRR1039509_2	(17.0, 2.0)	(18.0, 97.0)	(19.0, 1241.0)	(20.0, 7483.0)	(21.0, 18846.0)	(22.0, 30933.0)	(23.0, 42672.0)	(24.0, 53960.0)	(25.0, 64746.0)	(26.0, 75035.0)	(27.0, 87210.0)	(28.0, 101270.0)	(29.0, 119409.0)	(30.0, 144254.0)	(31.0, 182975.0)	(32.0, 244340.0)	(33.0, 325356.0)	(34.0, 470125.0)	(35.0, 741479.0)	(36.0, 1276958.0)	(37.0, 2247513.0)	(38.0, 3661398.0)	(39.0, 4962252.0)	(40.0, 5546998.0)		
SRR1039512_1	(17.0, 10.0)	(18.0, 246.0)	(19.0, 1882.0)	(20.0, 8607.0)	(21.0, 20840.0)	(22.0, 34509.0)	(23.0, 49232.0)	(24.0, 64960.0)	(25.0, 81470.0)	(26.0, 98718.0)	(27.0, 121080.0)	(28.0, 149911.0)	(29.0, 188936.0)	(30.0, 241194.0)	(31.0, 308913.0)	(32.0, 404605.0)	(33.0, 538669.0)	(34.0, 760249.0)	(35.0, 1095268.0)	(36.0, 1711077.0)	(37.0, 2851278.0)	(38.0, 4583071.0)	(39.0, 6727432.0)	(40.0, 7036524.0)		
SRR1039512_2	(17.0, 6.0)	(18.0, 188.0)	(19.0, 1937.0)	(20.0, 9733.0)	(21.0, 24893.0)	(22.0, 42504.0)	(23.0, 58367.0)	(24.0, 75151.0)	(25.0, 92167.0)	(26.0, 110077.0)	(27.0, 131261.0)	(28.0, 157322.0)	(29.0, 190482.0)	(30.0, 234430.0)	(31.0, 291826.0)	(32.0, 374807.0)	(33.0, 494935.0)	(34.0, 698438.0)	(35.0, 1013703.0)	(36.0, 1596974.0)	(37.0, 2709454.0)	(38.0, 4462971.0)	(39.0, 6624820.0)	(40.0, 7682235.0)		
SRR1039513_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 5.0)	(18.0, 156.0)	(19.0, 1599.0)	(20.0, 7270.0)	(21.0, 18484.0)	(22.0, 29550.0)	(23.0, 40873.0)	(24.0, 52620.0)	(25.0, 64927.0)	(26.0, 80251.0)	(27.0, 99963.0)	(28.0, 125953.0)	(29.0, 159737.0)	(30.0, 203712.0)	(31.0, 260088.0)	(32.0, 332565.0)	(33.0, 431281.0)	(34.0, 577789.0)	(35.0, 790865.0)	(36.0, 1143206.0)	(37.0, 1737837.0)	(38.0, 2598394.0)	(39.0, 3664149.0)	(40.0, 3570405.0)
SRR1039513_2	(17.0, 4.0)	(18.0, 133.0)	(19.0, 1618.0)	(20.0, 8790.0)	(21.0, 23352.0)	(22.0, 39155.0)	(23.0, 53602.0)	(24.0, 67092.0)	(25.0, 81573.0)	(26.0, 97373.0)	(27.0, 116987.0)	(28.0, 139933.0)	(29.0, 169956.0)	(30.0, 208022.0)	(31.0, 258110.0)	(32.0, 325627.0)	(33.0, 416348.0)	(34.0, 558294.0)	(35.0, 761806.0)	(36.0, 1101001.0)	(37.0, 1677990.0)	(38.0, 2538847.0)	(39.0, 3572825.0)	(40.0, 3773242.0)		
SRR1039516_1	(17.0, 19.0)	(18.0, 247.0)	(19.0, 2587.0)	(20.0, 11797.0)	(21.0, 29451.0)	(22.0, 48070.0)	(23.0, 65400.0)	(24.0, 85220.0)	(25.0, 104766.0)	(26.0, 127996.0)	(27.0, 158802.0)	(28.0, 199195.0)	(29.0, 252806.0)	(30.0, 320888.0)	(31.0, 411129.0)	(32.0, 531791.0)	(33.0, 698427.0)	(34.0, 953041.0)	(35.0, 1318543.0)	(36.0, 1927447.0)	(37.0, 2913634.0)	(38.0, 4330828.0)	(39.0, 5966590.0)	(40.0, 5511830.0)		
SRR1039516_2	(17.0, 6.0)	(18.0, 224.0)	(19.0, 2583.0)	(20.0, 13353.0)	(21.0, 35348.0)	(22.0, 59864.0)	(23.0, 81789.0)	(24.0, 104197.0)	(25.0, 127638.0)	(26.0, 152030.0)	(27.0, 182273.0)	(28.0, 219684.0)	(29.0, 264777.0)	(30.0, 325104.0)	(31.0, 404381.0)	(32.0, 507910.0)	(33.0, 654146.0)	(34.0, 885694.0)	(35.0, 1227154.0)	(36.0, 1814379.0)	(37.0, 2832473.0)	(38.0, 4295313.0)	(39.0, 5924693.0)	(40.0, 5855491.0)		
