Sample	Unique Reads	Duplicate Reads
SRR1039508_1	11043762.0	11330973.0
SRR1039508_2	11524222.0	10850513.0
SRR1039509_1	10260929.0	10145623.0
SRR1039509_2	10752906.0	9653646.0
SRR1039512_1	11705236.0	15373445.0
SRR1039512_2	11728074.0	15350607.0
SRR1039513_1	8181224.0	7810456.0
SRR1039513_2	8200703.0	7790977.0
SRR1039516_1	11553622.0	14416882.0
SRR1039516_2	11564700.0	14405804.0
SRR1039517_1	13925177.0	18750523.0
SRR1039517_2	13918075.0	18757625.0
SRR1039520_1	10087064.0	10165934.0
SRR1039520_2	10068319.0	10184679.0
SRR1039521_1	10529433.0	11741236.0
SRR1039521_2	10567928.0	11702741.0
