Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039508_1	(1.0, 37.05688027760612)	(2.0, 12.742571882873255)	(3.0, 6.687423868344963)	(4.0, 4.179432635744239)	(5.0, 3.0867350406805625)	(6.0, 2.3700774186672673)	(7.0, 1.928890060621167)	(8.0, 1.6703458748790763)	(9.0, 1.382458744899415)	('>10', 16.81777616375463)	('>50', 5.016128340438822)	('>100', 5.748716640108076)	('>500', 0.7061482650107201)	('>1k', 0.27624656076395093)	('>5k', 0.0)	('>10k+', 0.33016822560778486)
SRR1039508_2	(1.0, 39.166856250501844)	(2.0, 12.85265799264314)	(3.0, 6.677420274245965)	(4.0, 4.382309385415844)	(5.0, 3.009047701609238)	(6.0, 2.426479819733897)	(7.0, 1.853787544521985)	(8.0, 1.5424434957390372)	(9.0, 1.3487774690541485)	('>10', 16.368909088220406)	('>50', 4.537665918449187)	('>100', 4.834131521697061)	('>500', 0.5420487904252972)	('>1k', 0.18480615293101516)	('>5k', 0.03528310558027702)	('>10k+', 0.23737548923148502)
SRR1039509_1	(1.0, 37.692268469836456)	(2.0, 12.9847955456092)	(3.0, 6.902748879243055)	(4.0, 4.351209716879852)	(5.0, 3.2153054070252987)	(6.0, 2.555521001778528)	(7.0, 2.005398248399648)	(8.0, 1.6597846187987382)	(9.0, 1.4250672778007825)	('>10', 16.27035991498329)	('>50', 4.590820979902337)	('>100', 5.033446335772082)	('>500', 0.5448730444480269)	('>1k', 0.1793642325179419)	('>5k', 0.0)	('>10k+', 0.5890363270045934)
SRR1039509_2	(1.0, 40.09328067392041)	(2.0, 13.232568445793444)	(3.0, 6.8607576405445725)	(4.0, 4.437774909325708)	(5.0, 3.107548842519567)	(6.0, 2.3988018470615815)	(7.0, 1.9502542231977358)	(8.0, 1.5355038002333519)	(9.0, 1.4151464951205892)	('>10', 15.686004967733371)	('>50', 4.117846208170408)	('>100', 4.180566320878715)	('>500', 0.3812117656807686)	('>1k', 0.09044408606761825)	('>5k', 0.029729100711670932)	('>10k+', 0.48256067304051936)
SRR1039512_1	(1.0, 31.2429480676227)	(2.0, 11.728903133469757)	(3.0, 6.41162846671683)	(4.0, 4.31345315737603)	(5.0, 3.273956472418973)	(6.0, 2.564196510244055)	(7.0, 2.130857294314788)	(8.0, 1.76169014733599)	(9.0, 1.511611787155557)	('>10', 18.628475874752414)	('>50', 6.1031613014622765)	('>100', 8.217013101901054)	('>500', 1.4273329440858473)	('>1k', 0.6619489583343324)	('>5k', 0.02282278280958138)	('>10k+', 0.0)
SRR1039512_2	(1.0, 31.33205467012963)	(2.0, 11.707603387422967)	(3.0, 6.593233628314321)	(4.0, 4.367533467715469)	(5.0, 3.2076359914186394)	(6.0, 2.4337351507687854)	(7.0, 1.997656994685278)	(8.0, 1.6543053270276669)	(9.0, 1.4749696304646058)	('>10', 18.548661692482472)	('>50', 6.182712312663229)	('>100', 8.335834157963426)	('>500', 1.4451418541217147)	('>1k', 0.699444210895461)	('>5k', 0.019477523926227258)	('>10k+', 0.0)
SRR1039513_1	(1.0, 38.845888882488204)	(2.0, 12.519302152023704)	(3.0, 6.677162501054474)	(4.0, 4.407097252676943)	(5.0, 3.1950810571615382)	(6.0, 2.455248897915613)	(7.0, 1.9854052625285408)	(8.0, 1.7248922506199902)	(9.0, 1.4186490462955736)	('>10', 17.142253470330584)	('>50', 4.515166388968912)	('>100', 4.610343479764887)	('>500', 0.42043811890117466)	('>1k', 0.08307123926990552)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039513_2	(1.0, 39.00161546920073)	(2.0, 12.564883028578134)	(3.0, 6.59685060927617)	(4.0, 4.366862661280564)	(5.0, 3.1108363462196316)	(6.0, 2.4803874175031906)	(7.0, 2.0438306488717584)	(8.0, 1.6628253942256712)	(9.0, 1.4200298953017692)	('>10', 17.04842648924817)	('>50', 4.585704263822454)	('>100', 4.601969089478242)	('>500', 0.42676452633420026)	('>1k', 0.0890141606592963)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039516_1	(1.0, 32.51041281864645)	(2.0, 11.680857986930087)	(3.0, 6.6117439847588555)	(4.0, 4.512095405740884)	(5.0, 3.3450317167450665)	(6.0, 2.505198249906155)	(7.0, 1.9500817694509966)	(8.0, 1.7916534541980487)	(9.0, 1.4145695490733192)	('>10', 17.41437660412718)	('>50', 5.4743947157652535)	('>100', 8.141718358817643)	('>500', 1.529558121674132)	('>1k', 0.9744232853114168)	('>5k', 0.05287782617140318)	('>10k+', 0.09100615268323897)
SRR1039516_2	(1.0, 32.53425167497198)	(2.0, 11.808924696136582)	(3.0, 6.573211729767321)	(4.0, 4.397768093609407)	(5.0, 3.345942163325942)	(6.0, 2.5063469360951345)	(7.0, 2.0291048399966582)	(8.0, 1.6363077463096505)	(9.0, 1.4274543898763026)	('>10', 17.452024568730234)	('>50', 5.497420698809238)	('>100', 8.066823409189865)	('>500', 1.539085997994712)	('>1k', 1.0294344965183597)	('>5k', 0.05902554468878583)	('>10k+', 0.09687301397988983)
