Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR1039508_1	(36, 2636.0)	(37, 2588.0)	(38, 2719.0)	(39, 2555.0)	(40, 2745.0)	(41, 2589.0)	(42, 2620.0)	(43, 1773.0)	(44, 1910.0)	(45, 1996.0)	(46, 1941.0)	(47, 2222.0)	(48, 2232.0)	(49, 2341.0)	(50, 2425.0)	(51, 2416.0)	(52, 2761.0)	(53, 3473.0)	(54, 5021.0)	(55, 7720.0)	(56, 4191.0)	(57, 6388.0)	(58, 26932.0)	(59, 5296.0)	(60, 5665.0)	(61, 6311.0)	(62, 6558.0)	(63, 22256711.0)
SRR1039508_2	(36, 1972.0)	(37, 1884.0)	(38, 1942.0)	(39, 1837.0)	(40, 2017.0)	(41, 1875.0)	(42, 1849.0)	(43, 1767.0)	(44, 1898.0)	(45, 1989.0)	(46, 1927.0)	(47, 2201.0)	(48, 2222.0)	(49, 2329.0)	(50, 2409.0)	(51, 2340.0)	(52, 2532.0)	(53, 2602.0)	(54, 2788.0)	(55, 3106.0)	(56, 3523.0)	(57, 4000.0)	(58, 4533.0)	(59, 5296.0)	(60, 5665.0)	(61, 6311.0)	(62, 6558.0)	(63, 22295363.0)
SRR1039509_1	(36, 2375.0)	(37, 2513.0)	(38, 2439.0)	(39, 2762.0)	(40, 2525.0)	(41, 2535.0)	(42, 2479.0)	(43, 1950.0)	(44, 1725.0)	(45, 1890.0)	(46, 1884.0)	(47, 2432.0)	(48, 2000.0)	(49, 2089.0)	(50, 2167.0)	(51, 2894.0)	(52, 2462.0)	(53, 3540.0)	(54, 4508.0)	(55, 6726.0)	(56, 3615.0)	(57, 5601.0)	(58, 24781.0)	(59, 4493.0)	(60, 5095.0)	(61, 5227.0)	(62, 5500.0)	(63, 20298345.0)
SRR1039509_2	(36, 1881.0)	(37, 1940.0)	(38, 1820.0)	(39, 2036.0)	(40, 1839.0)	(41, 1856.0)	(42, 1688.0)	(43, 1941.0)	(44, 1719.0)	(45, 1869.0)	(46, 1875.0)	(47, 2406.0)	(48, 1973.0)	(49, 2075.0)	(50, 2105.0)	(51, 2791.0)	(52, 2197.0)	(53, 2703.0)	(54, 2460.0)	(55, 2710.0)	(56, 3026.0)	(57, 3372.0)	(58, 4067.0)	(59, 4493.0)	(60, 5095.0)	(61, 5227.0)	(62, 5500.0)	(63, 20333888.0)
SRR1039512_1	(36, 1902.0)	(37, 1819.0)	(38, 1778.0)	(39, 1828.0)	(40, 1794.0)	(41, 1854.0)	(42, 1857.0)	(43, 1772.0)	(44, 1836.0)	(45, 1849.0)	(46, 1834.0)	(47, 1939.0)	(48, 1967.0)	(49, 2033.0)	(50, 2124.0)	(51, 2159.0)	(52, 2415.0)	(53, 2446.0)	(54, 2665.0)	(55, 2934.0)	(56, 3307.0)	(57, 3695.0)	(58, 3959.0)	(59, 4401.0)	(60, 4857.0)	(61, 5416.0)	(62, 5867.0)	(63, 27006374.0)
SRR1039512_2	(36, 1902.0)	(37, 1819.0)	(38, 1778.0)	(39, 1828.0)	(40, 1794.0)	(41, 1854.0)	(42, 1857.0)	(43, 1772.0)	(44, 1836.0)	(45, 1849.0)	(46, 1834.0)	(47, 1939.0)	(48, 1967.0)	(49, 2033.0)	(50, 2124.0)	(51, 2159.0)	(52, 2415.0)	(53, 2446.0)	(54, 2665.0)	(55, 2934.0)	(56, 3307.0)	(57, 3695.0)	(58, 3959.0)	(59, 4401.0)	(60, 4857.0)	(61, 5416.0)	(62, 5867.0)	(63, 27006374.0)
SRR1039513_1	(36, 1222.0)	(37, 1189.0)	(38, 1282.0)	(39, 1161.0)	(40, 1263.0)	(41, 1208.0)	(42, 1173.0)	(43, 1185.0)	(44, 1227.0)	(45, 1174.0)	(46, 1183.0)	(47, 1238.0)	(48, 1291.0)	(49, 1284.0)	(50, 1270.0)	(51, 1293.0)	(52, 1351.0)	(53, 1431.0)	(54, 1554.0)	(55, 1632.0)	(56, 1778.0)	(57, 2042.0)	(58, 2197.0)	(59, 2506.0)	(60, 2787.0)	(61, 2917.0)	(62, 3274.0)	(63, 15948568.0)
SRR1039513_2	(36, 1222.0)	(37, 1189.0)	(38, 1282.0)	(39, 1161.0)	(40, 1263.0)	(41, 1208.0)	(42, 1173.0)	(43, 1185.0)	(44, 1227.0)	(45, 1174.0)	(46, 1183.0)	(47, 1238.0)	(48, 1291.0)	(49, 1284.0)	(50, 1270.0)	(51, 1293.0)	(52, 1351.0)	(53, 1431.0)	(54, 1554.0)	(55, 1632.0)	(56, 1778.0)	(57, 2042.0)	(58, 2197.0)	(59, 2506.0)	(60, 2787.0)	(61, 2917.0)	(62, 3274.0)	(63, 15948568.0)
SRR1039516_1	(36, 1682.0)	(37, 1657.0)	(38, 1676.0)	(39, 1645.0)	(40, 1682.0)	(41, 1675.0)	(42, 1664.0)	(43, 1755.0)	(44, 1811.0)	(45, 1726.0)	(46, 1759.0)	(47, 1933.0)	(48, 1886.0)	(49, 1969.0)	(50, 2111.0)	(51, 2174.0)	(52, 2314.0)	(53, 2399.0)	(54, 2480.0)	(55, 2831.0)	(56, 3078.0)	(57, 3403.0)	(58, 3843.0)	(59, 4362.0)	(60, 4706.0)	(61, 5111.0)	(62, 5543.0)	(63, 25901629.0)
SRR1039516_2	(36, 1682.0)	(37, 1657.0)	(38, 1676.0)	(39, 1645.0)	(40, 1682.0)	(41, 1675.0)	(42, 1664.0)	(43, 1755.0)	(44, 1811.0)	(45, 1726.0)	(46, 1759.0)	(47, 1933.0)	(48, 1886.0)	(49, 1969.0)	(50, 2111.0)	(51, 2174.0)	(52, 2314.0)	(53, 2399.0)	(54, 2480.0)	(55, 2831.0)	(56, 3078.0)	(57, 3403.0)	(58, 3843.0)	(59, 4362.0)	(60, 4706.0)	(61, 5111.0)	(62, 5543.0)	(63, 25901629.0)
