Sample	featurecounts-Assigned	featurecounts-percent_assigned	hisat2-overall_alignment_rate	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508	17.878221	70.92632893382358	97.5	7.0689	97.0333	2733.608479	44.749469999999995	49.9216	97.55494544902642	97.48463290797254	0.5669524577183138	63.0	63.0						
SRR1039508_1														50.64182378832383	49.0	62.94736920906549	63	9.090909090909092	22.374734999999998
SRR1039508_2														48.49449004980756	49.0	62.96181653101143	63	9.090909090909092	22.374734999999998
SRR1039509	16.288094	71.79593533677865	97.05	6.70322	96.702	2484.563699	40.813103999999996	49.6143	96.45885150517542	96.38661537762806	0.6171289855734909	63.0	63.0						
SRR1039509_1														49.717479354065674	49.0	62.94558615291795	63	0.0	20.406551999999998
SRR1039509_2														47.30660165511921	49.0	62.960054937257404	63	9.090909090909092	20.406551999999998
SRR1039512	21.775897999999998	72.40631009849979	98.16	11.802	95.94669999999999	3272.0864899999997	54.157362	49.5493	96.2411487061439	96.19614202633736	0.2954939106737699	63.0	63.0						
SRR1039512_1														56.77324477673689	49.0	62.97053837297319	63	9.090909090909092	27.078681
SRR1039512_2														56.68890303719517	49.0	62.97053837297319	63	9.090909090909092	27.078681
SRR1039513	12.964675	73.79166323976006	97.89	7.432999999999999	94.5193	1903.570694	31.983359999999998	48.407	95.05793466692917	95.01067346464102	0.3001292033900078	63.0	63.0						
SRR1039513_1														48.840750583115636	48.0	62.96867746228038	63	0.0	15.991679999999999
SRR1039513_2														48.718942036458635	48.0	62.96867746228038	63	0.0	15.991679999999999
SRR1039516	20.406223999999998	70.4173130689489	98.04	10.6545	94.5183	3091.482099	51.941008	49.2271	95.13364057325239	95.08979491644406	0.29242128915486554	63.0	63.0						
SRR1039516_1														55.512526122248026	49.0	62.970964252368766	63	10.0	25.970504
SRR1039516_2														55.46986843634391	49.0	62.970964252368766	63	10.0	25.970504
SRR1039517	26.143991	72.37534502460579	98.12	10.0845	94.28370000000001	3879.642468	65.3514	49.4458	95.26926438833924	95.21659838193098	0.3571551443134433	63.0	63.0						
SRR1039517_1														57.383691965670415	49.0	62.96517283485893	63	18.181818181818183	32.6757
SRR1039517_2														57.405427648094445	49.0	62.96517283485893	63	18.181818181818183	32.6757
SRR1039520	16.344116	72.83923718108271	97.94	8.86676	94.4846	2409.743645	40.505995999999996	49.346000000000004	95.19225707523935	95.13745735555608	0.3436613315505327	63.0	63.0						
SRR1039520_1														50.194716457490195	49.0	62.96373252987039	63	10.0	20.252997999999998
SRR1039520_2														50.287268738692134	49.0	62.96373252987039	63	10.0	20.252997999999998
SRR1039521	18.241246	74.25332674108698	97.9	9.80816	94.294	2644.32735	44.541337999999996	49.1976	94.817786720459	94.75822957726801	0.3783060696036165	63.0	63.0						
SRR1039521_1														52.720626810459095	49.0	62.960428310438274	63	10.0	22.270668999999998
SRR1039521_2														52.547777705041725	49.0	62.960428310438274	63	10.0	22.270668999999998
